U,V,W,T_SONIC,CO2,H2O,SA_DIAG,GA_DIAG,T_CELL,T_CELL_IN,T_CELL_OUT,PRESS_CELL
-2.36553,4.3916,-1.59529,301.41,350.675,15.8095,2,8191,28.6081,30.9028,28.0344,96.8925
-2.44427,4.55603,-1.48832,301.379,350.626,15.8092,3,8191,28.5941,30.9028,28.017,96.8925
-2.42656,4.34055,-1.29455,301.413,350.576,15.8069,4,8191,28.5995,30.9409,28.0142,96.8961
-2.27992,4.10713,-1.5668,301.371,350.685,15.8069,5,8191,28.5807,30.8953,28.002,96.901
-2.18298,4.0817,-1.45104,301.363,350.779,15.8036,6,8191,28.6063,30.9238,28.0269,96.8987
-2.07805,4.12363,-1.11415,301.38,350.71,15.7897,7,8191,28.6275,30.9201,28.0543,96.9016
-2.13072,4.31976,-0.728434,301.451,350.573,15.7931,8,8191,28.6143,30.9238,28.0369,96.9047
-2.23809,4.6082,-0.534347,301.37,350.679,15.7936,9,8191,28.5662,30.9028,27.9821,96.8998
-2.20966,4.67368,-0.441531,301.364,350.738,15.7857,10,8191,28.5712,30.9176,27.9846,96.8967
-2.12914,4.5829,-0.555982,301.375,350.665,15.7878,1,8191,28.5976,30.9012,28.0217,96.902
-2.07179,4.42191,-0.582617,301.384,350.621,15.7907,2,8191,28.5896,30.8963,28.013,96.8986
-2.13849,4.20121,-0.497649,301.439,350.54,15.7903,3,8191,28.618,30.9127,28.0444,96.9016
-1.94026,4.13806,-0.587622,301.481,350.725,15.7851,4,8191,28.5968,30.9322,28.013,96.9071
-1.83149,3.79307,-1.25339,301.426,350.707,15.7828,5,8191,28.6123,30.9099,28.0379,96.9107
-1.83824,4.08428,-1.41094,301.412,350.708,15.7807,6,8191,28.6402,30.9099,28.0727,96.9034
-1.95219,4.16268,-1.78451,301.321,350.688,15.7756,7,8191,28.62,30.9028,28.0493,96.9022
-2.21267,4.17397,-1.56098,301.337,350.523,15.7868,8,8191,28.626,30.9226,28.0518,96.901
-2.31481,3.96767,-1.50733,301.375,350.578,15.7918,9,8191,28.6066,30.9152,28.0294,96.9039
-2.41437,3.74966,-1.3208,301.356,350.74,15.79,10,8191,28.5886,30.9112,28.008,96.8986
-2.01148,4.54205,-1.46579,301.381,350.627,15.7941,1,8191,28.5844,30.909,28.0033,96.8979
-1.97993,4.34462,-1.23909,301.357,350.781,15.7891,2,8191,28.6118,30.9322,28.0316,96.904
-2.20008,4.23513,-1.33356,301.336,350.804,15.783,3,8191,28.5856,30.9152,28.0033,96.9034
-2.1301,4.17558,-1.06693,301.317,350.771,15.7789,4,8191,28.6135,30.9161,28.0379,96.9051
-2.10303,4.2734,-1.09339,301.32,350.679,15.7839,5,8191,28.6464,30.9201,28.078,96.904
-1.85451,4.1967,-1.32768,301.314,350.781,15.7799,6,8191,28.634,30.8888,28.0703,96.9039
-1.75113,4.31809,-1.4858,301.449,350.86,15.7631,7,8191,28.6673,30.9112,28.1064,96.9014
-1.90433,4.30058,-1.37707,301.458,350.945,15.7625,8,8191,28.6265,30.931,28.0503,96.8943
-2.09856,4.3672,-1.19199,301.284,350.922,15.7531,9,8191,28.6833,30.9201,28.1241,96.8978
-1.97199,4.37576,-1.34387,301.434,350.824,15.7511,10,8191,28.6489,30.9186,28.0815,96.8937
-1.86146,4.5538,-1.26966,301.525,350.734,15.7587,1,8191,28.6404,30.9251,28.0693,96.9026
-1.63013,4.33226,-1.11848,301.475,350.397,15.7768,2,8191,28.622,30.9087,28.0503,96.8967
-1.85249,4.22922,-0.987893,301.361,350.756,15.7914,3,8191,28.6763,30.9211,28.1151,96.9075
-1.85014,4.07785,-0.702174,301.372,350.559,15.7918,4,8191,28.6825,30.9223,28.1226,96.8979
-1.65564,4.03245,-0.679767,301.301,350.25,15.803,5,8191,28.6352,30.905,28.0678,96.8961
-1.77068,3.94735,-0.872219,301.293,350.148,15.8274,6,8191,28.6232,30.905,28.0528,96.8955
-1.66186,4.01679,-0.906094,301.35,350.282,15.8313,7,8191,28.6325,30.9052,28.0643,96.8953
-1.63564,4.12851,-0.706258,301.308,350.389,15.8351,8,8191,28.6233,30.904,28.0531,96.8925
-1.43852,3.81878,-0.851358,301.359,350.719,15.8203,9,8191,28.611,30.8888,28.0416,96.89
-1.4354,3.91393,-0.86167,301.365,350.685,15.797,10,8191,28.5976,30.9211,28.0167,96.8955
-1.35094,3.81976,-0.864629,301.375,350.562,15.8136,1,8191,28.5951,30.9136,28.0154,96.8998
-1.56241,3.88966,-0.892219,301.258,350.32,15.8151,2,8191,28.6197,30.9174,28.0453,96.9004
-1.55837,3.78473,-1.02384,301.27,350.243,15.8325,3,8191,28.6277,30.9124,28.0565,96.9094
-1.73769,3.79611,-0.970619,301.273,350.246,15.8405,4,8191,28.6442,30.905,28.079,96.9081
-1.72588,3.77269,-0.913516,301.29,350.228,15.849,5,8191,28.6312,30.9,28.064,96.9051
-1.67368,3.92429,-0.785611,301.276,350.595,15.8345,6,8191,28.6075,30.9459,28.0229,96.8979
-1.4928,3.86209,-0.667958,301.26,350.798,15.8173,7,8191,28.6063,30.9198,28.0279,96.9073
-1.64049,4.0175,-0.69033,301.268,350.983,15.8054,8,8191,28.5948,30.9025,28.0179,96.902
-1.61178,4.17092,-0.735026,301.275,350.873,15.7874,9,8191,28.6145,30.9161,28.0391,96.9008
-1.68414,4.06662,-0.659571,301.27,350.956,15.7782,10,8191,28.6205,30.9062,28.0491,96.9112
-1.59314,4.07869,-0.815718,301.26,350.83,15.7602,1,8191,28.6245,30.926,28.0491,96.9047
-1.45215,4.0773,-0.834351,301.276,350.881,15.7567,2,8191,28.5981,30.9087,28.0204,96.9083
